rank	title	link	year	genre	description
111	Stand by Me	https://www.imdb.com/title/tt0092005/?ref_=adv_li_tt	1986	Adventure, Comedy, Drama	After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.
112	12 Angry Men	https://www.imdb.com/title/tt0050083/?ref_=adv_li_tt	1957	Crime, Drama	The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
113	Coco	https://www.imdb.com/title/tt2380307/?ref_=adv_li_tt	I 2017	Animation, Adventure, Drama	Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.
114	Hacksaw Ridge	https://www.imdb.com/title/tt2119532/?ref_=adv_li_tt	2016	Biography, Drama, History	World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.
115	Catch Me If You Can	https://www.imdb.com/title/tt0264464/?ref_=adv_li_tt	2002	Biography, Crime, Drama	Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.
116	Puss in Boots: The Last Wish	https://www.imdb.com/title/tt3915174/?ref_=adv_li_tt	2022	Animation, Adventure, Comedy	When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.
117	Harry Potter and the Prisoner of Azkaban	https://www.imdb.com/title/tt0304141/?ref_=adv_li_tt	2004	Adventure, Family, Fantasy	Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.
118	Rogue One: A Star Wars Story	https://www.imdb.com/title/tt3748528/?ref_=adv_li_tt	2016	Action, Adventure, Sci-Fi	In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.
119	The Notebook	https://www.imdb.com/title/tt0332280/?ref_=adv_li_tt	2004	Drama, Romance	A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom. However, social differences soon get in the way.
120	Batman Begins	https://www.imdb.com/title/tt0372784/?ref_=adv_li_tt	2005	Action, Crime, Drama	After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.
121	Mulholland Drive	https://www.imdb.com/title/tt0166924/?ref_=adv_li_tt	2001	Drama, Mystery, Thriller	After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.
122	Fargo	https://www.imdb.com/title/tt0116282/?ref_=adv_li_tt	1996	Crime, Thriller	Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
123	La La Land	https://www.imdb.com/title/tt3783958/?ref_=adv_li_tt	2016	Comedy, Drama, Music	While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.
